Close, CloseTD, Date
9285.32000,0.00000,2018-03-08
9230.00000,-55.32000,2018-03-09
8791.47000,-438.53000,2018-03-10
9535.04000,743.57000,2018-03-11
9120.75000,-414.29000,2018-03-12
9142.32000,21.57000,2018-03-13
8196.69000,-945.63000,2018-03-14
8265.05000,68.36000,2018-03-15
8258.54000,-6.51000,2018-03-16
7860.83000,-397.71000,2018-03-17
8188.24000,327.41000,2018-03-18
8596.93000,408.69000,2018-03-19
8904.02000,307.09000,2018-03-20
8893.79000,-10.23000,2018-03-21
8704.67000,-189.12000,2018-03-22
8920.79000,216.12000,2018-03-23
8547.00000,-373.79000,2018-03-24
8453.90000,-93.10000,2018-03-25
8149.66000,-304.24000,2018-03-26
7791.70000,-357.96000,2018-03-27
7932.41000,140.71000,2018-03-28
7088.38000,-844.03000,2018-03-29
6850.00000,-238.38000,2018-03-30
6928.62000,78.62000,2018-03-31
6813.52000,-115.10000,2018-04-01
7052.76000,239.24000,2018-04-02
7416.27000,363.51000,2018-04-03
6799.95000,-616.32000,2018-04-04
6771.69000,-28.26000,2018-04-05
6618.33000,-153.36000,2018-04-06
6904.90000,286.57000,2018-04-07
7027.26000,122.36000,2018-04-08
6780.10000,-247.16000,2018-04-09
6835.67000,55.57000,2018-04-10
6940.94000,105.27000,2018-04-11
7923.78000,982.84000,2018-04-12
7896.92000,-26.86000,2018-04-13
8000.41000,103.49000,2018-04-14
8354.22000,353.81000,2018-04-15
8048.15000,-306.07000,2018-04-16
7890.87000,-157.28000,2018-04-17
8172.84000,281.97000,2018-04-18
8271.31000,98.47000,2018-04-19
8861.00000,589.69000,2018-04-20
8920.71000,59.71000,2018-04-21
8789.96000,-130.75000,2018-04-22
8946.95000,156.99000,2018-04-23
9648.00000,701.05000,2018-04-24
8864.99000,-783.01000,2018-04-25
9274.48000,409.49000,2018-04-26
8921.43000,-353.05000,2018-04-27
9345.11000,423.68000,2018-04-28
9393.99000,48.88000,2018-04-29
9242.17000,-151.82000,2018-04-30
9066.90000,-175.27000,2018-05-01
9222.00000,155.10000,2018-05-02
9732.43000,510.43000,2018-05-03
9696.57000,-35.86000,2018-05-04
9823.28000,126.71000,2018-05-05
9623.54000,-199.74000,2018-05-06
9359.52000,-264.02000,2018-05-07
9167.69000,-191.83000,2018-05-08
9308.49000,140.80000,2018-05-09
9020.99000,-287.50000,2018-05-10
8411.42000,-609.57000,2018-05-11
8481.60000,70.18000,2018-05-12
8696.58000,214.98000,2018-05-13
8674.36000,-22.22000,2018-05-14
8474.99000,-199.37000,2018-05-15
8346.59000,-128.40000,2018-05-16
8067.03000,-279.56000,2018-05-17
8248.87000,181.84000,2018-05-18
8231.20000,-17.67000,2018-05-19
8518.48000,287.28000,2018-05-20
8391.76000,-126.72000,2018-05-21
7984.08000,-407.68000,2018-05-22
7502.89000,-481.19000,2018-05-23
7586.88000,83.99000,2018-05-24
7471.18000,-115.70000,2018-05-25
7335.99000,-135.19000,2018-05-26
7347.39000,11.40000,2018-05-27
7112.50000,-234.89000,2018-05-28
7469.45000,356.95000,2018-05-29
7375.73000,-93.72000,2018-05-30
7492.28000,116.55000,2018-05-31
7511.60000,19.32000,2018-06-01
7642.00000,130.40000,2018-06-02
7703.67000,61.67000,2018-06-03
7488.26000,-215.41000,2018-06-04
7617.98000,129.72000,2018-06-05
7658.57000,40.59000,2018-06-06
7689.28000,30.71000,2018-06-07
7618.11000,-71.17000,2018-06-08
7492.70000,-125.41000,2018-06-09
6781.17000,-711.53000,2018-06-10
6880.61000,99.44000,2018-06-11
6557.67000,-322.94000,2018-06-12
6307.40000,-250.27000,2018-06-13
6646.10000,338.70000,2018-06-14
6390.60000,-255.50000,2018-06-15
6487.92000,97.32000,2018-06-16
6453.41000,-34.51000,2018-06-17
6707.50000,254.09000,2018-06-18
6736.52000,29.02000,2018-06-19
6756.58000,20.06000,2018-06-20
6718.33000,-38.25000,2018-06-21
6050.45000,-667.88000,2018-06-22
6177.38000,126.93000,2018-06-23
6153.40000,-23.98000,2018-06-24
6253.61000,100.21000,2018-06-25
6068.00000,-185.61000,2018-06-26
6135.64000,67.64000,2018-06-27
5848.33000,-287.31000,2018-06-28
6204.24000,355.91000,2018-06-29
6385.71000,181.47000,2018-06-30
6349.99000,-35.72000,2018-07-01
6612.98000,262.99000,2018-07-02
6507.99000,-104.99000,2018-07-03
6584.25000,76.26000,2018-07-04
6533.69000,-50.56000,2018-07-05
6596.53000,62.84000,2018-07-06
6759.99000,163.46000,2018-07-07
6706.60000,-53.39000,2018-07-08
6666.75000,-39.85000,2018-07-09
6299.46000,-367.29000,2018-07-10
6380.00000,80.54000,2018-07-11
6243.88000,-136.12000,2018-07-12
6215.59000,-28.29000,2018-07-13
6243.98000,28.39000,2018-07-14
6349.30000,105.32000,2018-07-15
6721.04000,371.74000,2018-07-16
7310.71000,589.67000,2018-07-17
7378.10000,67.39000,2018-07-18
7471.42000,93.32000,2018-07-19
7330.84000,-140.58000,2018-07-20
7409.92000,79.08000,2018-07-21
7396.60000,-13.32000,2018-07-22
7719.62000,323.02000,2018-07-23
8403.83000,684.21000,2018-07-24
8174.06000,-229.77000,2018-07-25
7926.00000,-248.06000,2018-07-26
8183.05000,257.05000,2018-07-27
8237.74000,54.69000,2018-07-28
8216.74000,-21.00000,2018-07-29
8160.21000,-56.53000,2018-07-30
7725.43000,-434.78000,2018-07-31
7602.01000,-123.42000,2018-08-01
7536.37000,-65.64000,2018-08-02
7416.98000,-119.39000,2018-08-03
7009.99000,-406.99000,2018-08-04
7032.61000,22.62000,2018-08-05
6936.11000,-96.50000,2018-08-06
6717.68000,-218.43000,2018-08-07
6283.59000,-434.09000,2018-08-08
6543.76000,260.17000,2018-08-09
6139.99000,-403.77000,2018-08-10
6239.98000,99.99000,2018-08-11
6310.82000,70.84000,2018-08-12
6252.63000,-58.19000,2018-08-13
6193.62000,-59.01000,2018-08-14
6272.30000,78.68000,2018-08-15
6313.51000,41.21000,2018-08-16
6580.15000,266.64000,2018-08-17
6399.28000,-180.87000,2018-08-18
6481.99000,82.71000,2018-08-19
6260.82000,-221.17000,2018-08-20
6479.27000,218.45000,2018-08-21
6355.76000,-123.51000,2018-08-22
6525.01000,169.25000,2018-08-23
6692.94000,167.93000,2018-08-24
6732.40000,39.46000,2018-08-25
6700.46000,-31.94000,2018-08-26
6904.51000,204.05000,2018-08-27
7080.94000,176.43000,2018-08-28
7032.96000,-47.98000,2018-08-29
6984.01000,-48.95000,2018-08-30
7017.35000,33.34000,2018-08-31
7185.01000,167.66000,2018-09-01
7290.31000,105.30000,2018-09-02
7258.99000,-31.32000,2018-09-03
7361.00000,102.01000,2018-09-04
6679.30000,-681.70000,2018-09-05
6493.09000,-186.21000,2018-09-06
6400.00000,-93.09000,2018-09-07
6178.31000,-221.69000,2018-09-08
6236.04000,57.73000,2018-09-09
6301.99000,65.95000,2018-09-10
6279.99000,-22.00000,2018-09-11
6322.45000,42.46000,2018-09-12
6485.70000,163.25000,2018-09-13
6476.51000,-9.19000,2018-09-14
6520.15000,43.64000,2018-09-15
6499.98000,-20.17000,2018-09-16
6254.52000,-245.46000,2018-09-17
6332.34000,77.82000,2018-09-18
6388.40000,56.06000,2018-09-19
6492.98000,104.58000,2018-09-20
6749.45000,256.47000,2018-09-21
6710.01000,-39.44000,2018-09-22
6702.22000,-7.79000,2018-09-23
6581.52000,-120.70000,2018-09-24
6428.99000,-152.53000,2018-09-25
6461.51000,32.52000,2018-09-26
6681.62000,220.11000,2018-09-27
6610.76000,-70.86000,2018-09-28
6579.38000,-31.38000,2018-09-29
6597.81000,18.43000,2018-09-30
6571.20000,-26.61000,2018-10-01
6500.00000,-71.20000,2018-10-02
6456.77000,-43.23000,2018-10-03
6547.56000,90.79000,2018-10-04
6582.12000,34.56000,2018-10-05
6544.08000,-38.04000,2018-10-06
6577.63000,33.55000,2018-10-07
6604.75000,27.12000,2018-10-08
6588.80000,-15.95000,2018-10-09
6517.55000,-71.25000,2018-10-10
6152.76000,-364.79000,2018-10-11
6185.15000,32.39000,2018-10-12
6199.69000,14.54000,2018-10-13
6183.00000,-16.69000,2018-10-14
6441.74000,258.74000,2018-10-15
6461.20000,19.46000,2018-10-16
6437.29000,-23.91000,2018-10-17
6396.18000,-41.11000,2018-10-18
6383.46000,-12.72000,2018-10-19
6412.86000,29.40000,2018-10-20
6413.38000,0.52000,2018-10-21
6406.06000,-7.32000,2018-10-22
6393.41000,-12.65000,2018-10-23
6411.96000,18.55000,2018-10-24
6393.53000,-18.43000,2018-10-25
6406.10000,12.57000,2018-10-26
6407.66000,1.56000,2018-10-27
6405.57000,-2.09000,2018-10-28
6266.52000,-139.05000,2018-10-29
6269.46000,2.94000,2018-10-30
6303.27000,33.81000,2018-10-31
6340.99000,37.72000,2018-11-01
6350.43000,9.44000,2018-11-02
