,10Min,10Minp,30Min,30Minp,1H,1Hp,2H,2Hp,3H,3Hp,6H,6Hp,12H,12Hp,24H,24Hp
Volume,0.1985,3.220150142758575e-305,0.2466,7.922420972032837e-160,0.282,3.2783181292846395e-106,0.3275,2.8756148621857894e-73,0.3534,9.045004007494648e-58,0.4048,2.8619897197366085e-39,0.4604,1.3006422427141515e-26,0.4972,2.1524647366132273e-16
tweet_vol,0.0304,1.4615379554688428e-08,0.0491,1.2749674270222757e-07,0.0597,5.509652543396577e-06,0.0704,0.00015149687138290633,0.0824,0.00029228057742561867,0.0936,0.003644480270317671,0.1075,0.018358181687986308,0.1469,0.022833710528844295
sent_neg,-0.0182,0.0006999042391633055,-0.0286,0.002059070565533647,-0.0406,0.002017938450584577,-0.0447,0.016344630509062066,-0.0554,0.015062230055229652,-0.0689,0.03264094259415326,-0.0811,0.07565812432883028,-0.0902,0.16350266912501266
sent_neu,0.0469,2.2884832615254622e-18,0.0583,3.5267988377019173e-10,0.0726,3.2464503581651136e-08,0.0823,9.289680141999638e-06,0.0963,2.2939495328797993e-05,0.1134,0.0004200347746620578,0.1377,0.0024804832471320617,0.1604,0.012836037592421638
sent_pos,-0.0432,8.576191384599914e-16,-0.0483,2.0344802414997607e-07,-0.0542,3.709986680110495e-05,-0.0642,0.0005541567956508154,-0.0713,0.0017281660784238763,-0.079,0.014156277452152626,-0.097,0.033496809388965154,-0.1123,0.0824735621069934
sent_compound,-0.0339,2.751264133722326e-10,-0.0343,0.00022030732137073747,-0.0349,0.008034819083672914,-0.0409,0.027695540995708933,-0.0424,0.06300495840142131,-0.0432,0.1799714971070668,-0.0477,0.2961124062379243,-0.0592,0.36155185047629684
count,0.3446,0.0,0.4108,0.0,0.4381,8.18256489102478e-270,0.453,2.5596881821520354e-146,0.4585,8.489010337311849e-101,0.4706,3.1857461753008806e-54,0.5125,1.4427004418530617e-33,0.5892,7.891584738732267e-24
count_neg,0.2162,0.0,0.2586,4.0371460482463805e-176,0.2792,4.8374695282479565e-104,0.2957,2.019993062103515e-59,0.3042,1.5590030435079468e-42,0.3208,1.725662482970728e-24,0.3515,1.949206414222221e-15,0.4034,8.309027495852777e-11
count_neu,0.3426,0.0,0.44,0.0,0.485,0.0,0.5077,2.8156090867038423e-189,0.5153,3.365709729027053e-131,0.5321,1.7224012739241946e-71,0.5744,1.4210801574313851e-43,0.635,1.6900095241504244e-28
count_pos,0.3147,0.0,0.367,0.0,0.3902,1.2418406430617855e-209,0.4077,3.1114278657212255e-116,0.415,4.338623933490679e-81,0.4296,1.5853259905188835e-44,0.4783,7.297323871123821e-29,0.5822,3.5966496945311905e-23
Close,0.0075,0.16296092776724677,0.0125,0.1795830242206115,0.0182,0.1668507898805087,0.026,0.16213236263789435,0.0331,0.14647572500173878,0.0432,0.18054393809449895,0.0472,0.30127521324715945,0.0994,0.12465756896271071
High,0.9999,0.0,0.9996,0.0,0.9993,0.0,0.9986,0.0,0.9979,0.0,0.996,0.0,0.9933,0.0,0.9855,1.8872195940205423e-185
Low,0.9999,0.0,0.9996,0.0,0.9992,0.0,0.9984,0.0,0.9978,0.0,0.996,0.0,0.9929,0.0,0.9859,8.922036386003471e-187
Close_v,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Close_td_next,-0.0154,0.004019958871672201,-0.0271,0.003558994556100296,-0.0379,0.003986133430771304,-0.0522,0.0050272780143118725,-0.0595,0.009019801776493447,-0.0872,0.006751785128660326,-0.1236,0.006647516333096888,-0.1523,0.01820169602692768
Close_next,0.9997,0.0,0.9992,0.0,0.9984,0.0,0.9969,0.0,0.9957,0.0,0.9915,0.0,0.9854,0.0,0.9682,3.0567193174669534e-145
