,10Min,10Minp,30Min,30Minp,1H,1Hp,2H,2Hp,3H,3Hp,6H,6Hp,12H,12Hp,24H,24Hp
Volume,0.1987,8.588941719042563e-306,0.247,2.1744081064681174e-160,0.282,3.458850755881966e-106,0.3279,1.967189611472966e-73,0.3537,7.1863928515586e-58,0.4062,1.5117330228141308e-39,0.4652,3.311608436219359e-27,0.4899,6.851533050024414e-16
tweet_vol,0.0305,1.3117756123316379e-08,0.0492,1.1902379893028935e-07,0.0597,5.5578553731220485e-06,0.0703,0.00015399258133995665,0.0825,0.00028904807832001245,0.0937,0.003594177347845406,0.106,0.020009150850562527,0.1381,0.03246001009751683
sent_neg,-0.0182,0.0006809980641560336,-0.0282,0.002397532966467762,-0.0393,0.002798528868100341,-0.0424,0.02276083092211767,-0.0534,0.0190818626604527,-0.0629,0.051069654639759904,-0.0768,0.09248183360984506,-0.0816,0.20775068152816725
sent_neu,0.0469,2.1996282989254595e-18,0.0586,2.9345580678279835e-10,0.0718,4.590856664948897e-08,0.0793,1.9603383732282693e-05,0.0898,7.918424795080425e-05,0.1057,0.001015252533383197,0.1294,0.004464525390893847,0.1562,0.015457308457510047
sent_pos,-0.0432,8.802121128215616e-16,-0.049,1.3265836546831586e-07,-0.0545,3.41030416707255e-05,-0.0626,0.0007553337874017183,-0.0654,0.004082472719887962,-0.0762,0.018057171463625298,-0.0902,0.048094157508687715,-0.1187,0.06639829338812121
sent_compound,-0.0338,2.880759200310967e-10,-0.0351,0.00016015324408664695,-0.0359,0.006332198367572454,-0.0417,0.025064765660961004,-0.0403,0.07689685607197223,-0.0477,0.13927581005303746,-0.0512,0.2623489205844723,-0.0726,0.2623110521495913
count,0.3446,0.0,0.4107,0.0,0.4381,6.9658880823754454e-270,0.4529,3.2243188454787573e-146,0.4581,1.3337250037810345e-100,0.4694,6.144989409599803e-54,0.5084,5.644558759537125e-33,0.5752,1.5530071061768236e-22
count_neg,0.2161,0.0,0.2584,8.526637453077904e-176,0.2793,4.181422629799357e-104,0.2965,9.397265630170298e-60,0.3046,1.1618104249991542e-42,0.3217,1.2783784199054566e-24,0.3534,1.3390234690034387e-15,0.4009,1.1147013531376563e-10
count_neu,0.3426,0.0,0.4401,0.0,0.4853,0.0,0.5075,4.796208594189903e-189,0.5151,4.3928453119887825e-131,0.5318,2.0791535972817494e-71,0.5702,8.056630943990465e-43,0.6218,4.5019455151850555e-27
count_pos,0.3147,0.0,0.3668,0.0,0.3899,2.7953499147132857e-209,0.4072,6.60788771629451e-116,0.4139,1.21525113864184e-80,0.4265,7.547174041958137e-44,0.4713,5.792212069734957e-28,0.5612,2.563362544957649e-21
Close,0.0068,0.20239483783439574,0.0125,0.18020647262776868,0.0163,0.2141888774103675,0.0217,0.2430321737534229,0.0305,0.1805976048758718,0.0347,0.2826419686881663,0.0615,0.17782866657197172,0.0765,0.23785218687016724
High,0.9996,0.0,0.9989,0.0,0.9978,0.0,0.9958,0.0,0.9938,0.0,0.9883,0.0,0.9779,0.0,0.9587,6.037274988561625e-132
Low,0.9996,0.0,0.9988,0.0,0.9977,0.0,0.9955,0.0,0.9936,0.0,0.9876,0.0,0.9764,4.12e-321,0.9579,4.941697224027129e-131
Close_v,0.9997,0.0,0.9992,0.0,0.9984,0.0,0.9969,0.0,0.9957,0.0,0.9915,0.0,0.9854,0.0,0.9682,3.0567193174669534e-145
Close_td_next,0.0075,0.16330127367400726,0.0125,0.1798733198704536,0.0182,0.1672822492372656,0.026,0.16220714801110891,0.0331,0.1460156845052197,0.0432,0.18088279496207843,0.0471,0.30261298333180187,0.0997,0.12347496403192001
Close_next,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
