,10Min,10Minp,30Min,30Minp,1H,1Hp,2H,2Hp,3H,3Hp,6H,6Hp,12H,12Hp,24H,24Hp
Volume,-0.0247,4.007711525249121e-06,-0.0343,0.0002280580606996814,-0.0243,0.0651430852682101,-0.0641,0.0005636187705745744,-0.0917,5.5200359138156815e-05,-0.1291,5.838362466308603e-05,-0.1557,0.0006091140905840243,-0.1304,0.04357154017986213
tweet_vol,-0.0043,0.4190783780839086,-0.019,0.04073729303894872,-0.0119,0.36636963344636597,-0.0174,0.3483792715928049,-0.0288,0.20580312694510433,-0.0637,0.04827143743403774,-0.0901,0.04828418358642512,-0.0883,0.17266033213901658
sent_neg,0.0009,0.8612391339512209,0.005,0.5908127582325424,0.0125,0.342960463852831,0.0228,0.2203810148808725,0.0205,0.3674544695800155,0.033,0.305637281383002,0.0049,0.9141165018165375,-0.0513,0.4289982077786775
sent_neu,-0.0075,0.1642614554980975,-0.008,0.390520190387735,0.0001,0.9964105202184212,-0.0146,0.43402729260613615,-0.0173,0.44853871247030985,-0.0656,0.04196123423012886,-0.0371,0.41630759624413305,-0.0346,0.5933936440997051
sent_pos,0.0089,0.09859935337863171,0.0054,0.5583366057570436,-0.0124,0.345665630362069,-0.0064,0.7317197987142285,-0.0003,0.9903475572368405,0.0454,0.158755883757697,0.0404,0.37663928858273693,0.1143,0.07713231837459768
sent_compound,0.0065,0.2287010661730111,-0.0002,0.9864582689023023,-0.0132,0.31615015283727677,-0.0169,0.36473417213985493,-0.0109,0.6332063909353773,0.0098,0.7607111088110968,0.0101,0.8258876895276956,0.0665,0.30504203540009195
count,0.0033,0.540419056111894,0.0088,0.34289404286128133,0.0078,0.5550292395813264,-0.0083,0.657355521450596,-0.0106,0.6425266124078788,-0.0114,0.7248259734495966,-0.0328,0.47252931186758096,-0.027,0.6768304508303818
count_neg,-0.0016,0.7598923090299583,-0.0027,0.7743123731685342,-0.0098,0.4577762596464475,-0.0302,0.10462573044373405,-0.0315,0.1669108759012588,-0.0397,0.21820688129011334,-0.0818,0.07300722131438803,-0.0841,0.19398867169348435
count_neu,0.0024,0.6502834404685959,0.0099,0.2885248629763878,0.012,0.3598766738955947,0.0044,0.8122783604980438,-0.0013,0.9561309459030879,-0.0003,0.9923055472714801,-0.0035,0.9388017862597793,0.0048,0.9404954846104142
count_pos,0.0063,0.23802280384123076,0.0124,0.18404058800024176,0.0119,0.36742367693190553,-0.0079,0.6708861018824892,-0.0071,0.7556519381385458,-0.006,0.8533097735793387,-0.0341,0.4557171119048838,-0.0285,0.6602404265301401
Close,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
High,-0.0024,0.6601570216579142,-0.0041,0.6578286033871454,-0.0045,0.7316841780326115,-0.0067,0.718768352564438,-0.0087,0.7038276560108212,-0.0199,0.5365146033071297,-0.0359,0.43216651031781866,-0.0305,0.6385903740135874
Low,-0.0026,0.6317973765231405,-0.0045,0.626370080372445,-0.006,0.6463023216752168,-0.0074,0.6922933846854873,-0.0047,0.8350962768480263,-0.0098,0.7608330439394486,-0.0225,0.6225878006590011,-0.0062,0.9234401927233667
Close_v,0.0075,0.16296092776724677,0.0125,0.1795830242206115,0.0182,0.1668507898805087,0.026,0.16213236263789435,0.0331,0.14647572500173878,0.0432,0.18054393809449895,0.0472,0.30127521324715945,0.0994,0.12465756896271071
Close_td_next,-0.0282,1.4479071039846335e-07,-0.0005,0.953480859234998,-0.0331,0.011846137148868915,-0.0551,0.0030149942287948837,-0.0283,0.21508431451999432,-0.0663,0.039828129841467066,0.0816,0.07368961372327175,-0.0932,0.15008607160074772
Close_next,0.0068,0.20239483783439574,0.0125,0.18020647262776868,0.0163,0.2141888774103675,0.0217,0.2430321737534229,0.0305,0.1805976048758718,0.0347,0.2826419686881663,0.0615,0.17782866657197172,0.0765,0.23785218687016724
